building,device_column,rows,nonzero_rows,kWh_total,kWh_mean,kWh_std,kWh_min,kWh_max
DE_KN_industrial3,DE_KN_industrial3_cooling_pumps,14360,14354,180270.46399999998,12.553653481894148,2.221533760178604,0.0,20.127000000007683
DE_KN_industrial3,DE_KN_industrial3_dishwasher,14360,3869,886.4259999999999,0.06172883008356545,0.17143341408281798,0.0,0.8689999999999998
DE_KN_industrial3,DE_KN_industrial3_ev,14360,469,960.4080000000001,0.0668807799442897,0.4400479134693122,0.0,3.617999999999995
DE_KN_industrial3,DE_KN_industrial3_refrigerator,14360,13737,469.67,0.03270682451253482,0.016442517689405668,0.0,0.08400000000000318
DE_KN_residential1,DE_KN_residential1_dishwasher,15872,1371,268.599,0.01692282006048387,0.09816452179953779,0.0,1.0699999999999932
DE_KN_residential1,DE_KN_residential1_freezer,15872,12763,432.7560000000001,0.027265372983870974,0.01425304652500468,0.0,0.06200000000001182
DE_KN_residential1,DE_KN_residential1_heat_pump,15872,15836,10213.512999999999,0.6434925025201612,0.729317698960733,0.0,7.264000000001033
DE_KN_residential1,DE_KN_residential1_washing_machine,15872,4200,320.321,0.020181514616935486,0.10353346344514833,0.0,1.2849999999999682
DE_KN_residential2,DE_KN_residential2_circulation_pump,24939,19812,868.8399999999999,0.03483860619912586,0.04327550175428553,0.0,0.2300000000000182
DE_KN_residential2,DE_KN_residential2_dishwasher,24939,7233,596.3510000000001,0.023912386222382617,0.12063488730911925,0.0,1.2889999999999873
DE_KN_residential2,DE_KN_residential2_freezer,24939,10170,140.505,0.005633946830265848,0.007492106062949875,0.0,0.26300000000000523
DE_KN_residential2,DE_KN_residential2_washing_machine,24939,4971,428.02,0.01716267693171338,0.09213265588765449,0.0,1.5090000000000146
DE_KN_residential3,DE_KN_residential3_circulation_pump,33210,33209,1777.3000000000002,0.05351701294790726,0.030131544826093558,0.0,0.13400000000001455
DE_KN_residential3,DE_KN_residential3_dishwasher,33210,29096,1175.99,0.03541071966275219,0.15009086295287652,0.0,1.214
DE_KN_residential3,DE_KN_residential3_freezer,33210,11879,366.26599999999996,0.011028786510087322,0.018254903669491868,0.0,0.10700000000002774
DE_KN_residential3,DE_KN_residential3_refrigerator,33210,24572,553.362,0.016662511291779585,0.01447978106941104,0.0,0.054999999999999716
DE_KN_residential3,DE_KN_residential3_washing_machine,33210,8791,1878.474,0.05656350496838301,0.17966094606938976,0.0,1.7490000000000236
DE_KN_residential4,DE_KN_residential4_dishwasher,20358,1560,141.798,0.006965222516946655,0.059526417739998186,0.0,0.9550000000000001
DE_KN_residential4,DE_KN_residential4_ev,20358,3962,2224.144,0.10925159642401021,0.4072924156718288,0.0,3.1649999999999636
DE_KN_residential4,DE_KN_residential4_freezer,20358,19911,354.279,0.01740244621279104,0.006962870661193795,0.0,0.10500000000001819
DE_KN_residential4,DE_KN_residential4_heat_pump,20358,8325,4728.82,0.23228313193830433,0.38663878142863806,0.0,2.661000000000058
DE_KN_residential4,DE_KN_residential4_refrigerator,20358,7684,193.862,0.009522644660575695,0.015102279356866631,0.0,0.06399999999999295
DE_KN_residential4,DE_KN_residential4_washing_machine,20358,1732,158.35399999999998,0.0077784654681206395,0.06446739134306029,0.0,1.5369999999999777
DE_KN_residential5,DE_KN_residential5_dishwasher,23540,5231,615.505,0.026147196261682243,0.09863186855949523,0.0,0.8009999999999877
DE_KN_residential5,DE_KN_residential5_refrigerator,23540,14344,603.771,0.025648725573491928,0.02813899859254619,0.0,0.12600000000000477
DE_KN_residential5,DE_KN_residential5_washing_machine,23540,2711,476.462,0.02024052676295667,0.0831552657481333,0.0,1.3320000000000007
DE_KN_residential6,DE_KN_residential6_circulation_pump,21533,21533,950.688,0.04415028096410161,0.027060039688791362,0.0009999999999763531,0.17899999999997362
DE_KN_residential6,DE_KN_residential6_dishwasher,21533,5163,96.078,0.004461895694979799,0.021231917365708543,0.0,0.8780000000000001
DE_KN_residential6,DE_KN_residential6_freezer,21533,15127,146.661,0.00681098778618864,0.011927509651058679,0.0,0.17099999999999227
DE_KN_residential6,DE_KN_residential6_washing_machine,21533,1457,78.641,0.003652115357822877,0.02356486348116343,0.0,0.6429999999999865
