building,day,battery,ev,n_devices,total_load_kwh,total_pv_kwh,baseline_cost_€,decentralised_cost_€,centralised_cost_€,savings_dec_vs_base_€,savings_cent_vs_base_€,savings_dec_vs_base_%,savings_cent_vs_base_%,savings_cent_vs_dec_%,pv_util_base_%,pv_util_dec_%,pv_util_cent_%,battery_charge_kwh,battery_discharge_kwh,ev_charge_kwh,solver_time_dec_s,solver_time_cent_s,peak_load_base_kw,peak_load_dec_kw,peak_load_cent_kw,peak_reduction_dec_%,peak_reduction_cent_%,grid_import_base_kwh,grid_export_base_kwh,grid_import_dec_kwh,grid_export_dec_kwh,grid_import_cent_kwh,grid_export_cent_kwh,battery_throughput_kwh,battery_cycles,battery_efficiency,ev_energy_charged_kwh,ev_final_soc_kwh,ev_soc_utilization_%
DE_KN_residential1,2015-05-22,with_battery,with_ev,4,24.711,38.879,0.454,0.454,0.454,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.002,0.486,2.654,8.814,8.814,-232.102,-232.102,63.59,0.0,63.59,0.0,63.59,0.0,0,0,0.0,0,12,22.222
DE_KN_residential1,2015-05-23,with_battery,with_ev,4,22.141,31.359,0.083,0.083,0.083,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.002,0.002,3.008,6.93,6.93,-130.386,-130.386,53.5,0.0,53.5,0.0,53.5,0.0,0,0,0.0,0,12,22.222
DE_KN_residential1,2015-05-24,with_battery,with_ev,4,18.369,34.332,0.318,0.318,0.318,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.002,0.001,1.88,5.901,5.901,-213.883,-213.883,52.701,0.0,52.701,0.0,52.701,0.0,0,0,0.0,0,12,22.222
