building,day,num_devices,baseline_cost_eur,decentralized_cost_eur,centralized_cost_eur,baseline_pv_utilization_pct,decentralized_pv_utilization_pct,centralized_pv_utilization_pct,savings_dec_pct,savings_cent_pct,pv_improvement_dec_pct,pv_improvement_cent_pct,load_shifted_dec_kwh,load_shifted_cent_kwh,total_consumption_kwh,total_pv_kwh,grid_import_kwh,grid_export_kwh
DE_KN_residential1,2016-05-16,4,4.453499999999778,-0.2612024314292401,-0.28603453224703024,25.56315366050997,31.42584185720616,19.69831053580002,105.86510455662406,106.4226907431693,5.86268819669619,-5.8648431247099495,26.839071428578006,24.695999999999856,17.813999999999112,24.859999999998763,11.45899999999665,18.5049999999963
DE_KN_residential1,2016-05-13,4,4.174000000000106,0.17322556130316408,0.13926297385764747,60.222831961428625,18.584296441339283,30.672653196975908,95.8498907210551,96.6635607604781,-41.63853552008934,-29.550178764452717,23.386133332998316,25.781999999301473,16.696000000000424,12.027000000000044,9.452999999999378,4.783999999998997
DE_KN_residential1,2016-09-20,4,4.1009999999998925,0.060729761550995964,-0.014263455963807091,32.72803391072379,23.71134020617733,46.376559566853274,98.51914748717392,100.34780433952224,-9.016693704546459,13.648525656129486,26.314229400000016,27.015999998129054,16.40399999999957,19.10900000000038,10.149999999999238,12.855000000000047
DE_KN_residential1,2016-05-04,4,3.6355000000000004,-0.9230999334946373,-1.0256940931370047,9.045717375929488,13.08031961953578,10.112733473875696,125.39127859976995,128.2132882172192,4.034602243606292,1.0670160979462082,17.834333333321677,17.949999996804568,14.542000000000002,48.07799999999952,10.193000000000666,43.729000000000184
DE_KN_residential1,2016-05-19,4,3.2937499999999247,-0.2468352316000269,-0.29596822811034146,24.00422982023202,4.8733571680324275,1.6264665894538086,107.49404877723059,108.98575265610167,-19.130872652199592,-22.37776323077821,19.770800000001273,18.22399999999925,13.174999999999699,19.85900000000038,8.407999999999731,15.09200000000041
DE_KN_residential1,2016-09-22,4,3.227749999999986,-0.6999301756734223,-0.7795300556138077,11.248181377302874,15.545182670524774,12.909190099963539,121.68477037172723,124.1508808183351,4.2970012932219,1.6610087226606645,20.00866670667122,22.639999999296336,12.910999999999945,32.99200000000019,9.20000000000016,29.281000000000404
DE_KN_residential1,2016-09-24,4,3.0742499999999993,-0.5231833942669478,-0.5838595564316299,8.97953158826813,10.020993242789473,28.222790789212617,117.01824491394478,118.99193482740928,1.041461654521342,19.243259200944486,16.895999999991755,21.88800000000026,12.296999999999997,40.64800000000105,8.647000000000673,36.998000000001724
DE_KN_residential1,2016-09-23,4,3.0697500000000275,-0.49762209128802926,-0.559161833374458,10.79924355528441,13.530112177529732,22.112736807757067,116.21050871530336,118.21522382521223,2.730868622245323,11.313493252472657,19.310444445081018,21.72399999861495,12.27900000000011,30.14099999999962,9.024000000001877,26.88600000000139
DE_KN_residential1,2016-05-17,4,3.0517500000001547,-0.7234665335282529,-0.8069850943586625,15.830929024811613,21.95818909405601,8.381419503752646,123.70661205957947,126.44335526693278,6.127260069244397,-7.4495095210589675,19.887166670000884,17.65800000177407,12.207000000000619,34.659999999999854,6.720000000000937,29.173000000000172
DE_KN_residential1,2016-09-28,4,2.87175000000002,-0.73704804854997,-0.8165645106181807,14.178887054481127,23.1879835550754,7.011750995439135,125.66546699921528,128.43438706775223,9.009096500594275,-7.167136059041992,18.329999999999202,19.519999999999868,11.48700000000008,30.89099999999962,7.107000000000369,26.51099999999991
DE_KN_residential3,2016-07-07,5,3.322000000000031,-0.33164380733528737,-0.31331801634896705,28.725687458080497,29.329309188464002,41.5594392784059,109.98325729486105,109.4316079575245,0.6036217303835052,12.8337518203254,17.085333333300344,17.838000002819737,13.288000000000125,29.81999999999971,4.722000000000605,21.25400000000019
DE_KN_residential3,2016-05-28,5,3.0767500000000183,-0.2908112709089402,-0.34845233876587167,29.985585585585373,22.1220077837832,29.178378372252762,109.45189797380152,111.32533806015665,-7.8635778018021725,-0.8072072133326103,15.41914286999988,15.741999996507792,12.307000000000073,27.75,3.986000000000132,19.42900000000006
DE_KN_residential3,2016-05-21,5,3.0764999999999816,-0.3252124386594192,-0.3721939193297204,31.939533876902587,20.834435803448994,19.57572696442669,110.57085774937173,112.09796584852016,-11.105098073453593,-12.363806912475898,13.609333323999607,16.98599998969965,12.305999999999926,27.717999999999847,3.4530000000001166,18.865000000000038
DE_KN_residential3,2017-05-29,5,2.8112499999999585,-0.3971396144343268,-0.41308057408000876,22.01983702665837,18.465395818738532,22.01983702665837,114.12679820131018,114.69383989613213,-3.5544412079198366,0.0,18.412999989700282,0.0,11.244999999999834,27.121000000000095,5.272999999999797,21.149000000000058
DE_KN_residential3,2016-05-17,5,2.604249999999979,-0.16698338464328144,-0.23857775894142874,31.494903069943163,36.968947044959386,21.318720169703624,106.41195678768484,109.16109278838171,5.474043975016222,-10.176182900239539,12.926000013000158,17.462000000010146,10.416999999999916,16.971000000000004,5.071999999999861,11.625999999999948
DE_KN_residential3,2016-07-26,5,2.285749999999979,-0.16005624169999785,-0.20287397123082307,29.141978379844822,18.833959021213836,28.00669410386719,107.00235116263805,108.87559756013671,-10.308019358630986,-1.1352842759776323,11.474000000000181,13.591999998133756,9.142999999999915,22.108999999999924,2.7000000000000455,15.666000000000054
DE_KN_residential3,2017-05-16,5,2.144250000000042,-0.49235436125778226,-0.5276384412000025,28.498810296343564,21.335352217657682,28.498810296343564,122.96161181101888,124.60713261979677,-7.163458078685881,0.0,11.835000000714198,0.0,8.577000000000169,27.738000000000284,0.6720000000003097,19.833000000000425
