k,device,js_divergence,entropy,learning_rate
1,dishwasher,0.3910674779995056,3.1780538303479453,
2,dishwasher,0.3910674779995056,3.1780538303479453,0.0
3,dishwasher,0.7957354773796841,6.585135319633412e-10,-0.4046679993801785
4,dishwasher,0.38730282878030103,1.94591014950896,0.40843264859938305
5,dishwasher,0.3785398671733443,1.8866967851135636,0.00876296160695672
6,dishwasher,0.34612782287255983,1.9913464138386796,0.03241204430078448
7,dishwasher,0.3495601958053396,1.9371061762587893,-0.003432372932779759
8,dishwasher,0.26246166824410894,2.139085903080985,0.08709852756123065
9,dishwasher,0.26246166824410894,2.139085903080985,0.0
10,dishwasher,0.2128571490966198,2.2753299857795843,0.049604519147489146
11,dishwasher,0.2168716073828632,2.256664223870785,-0.004014458286243416
12,dishwasher,0.2239910787342452,2.2255410837920073,-0.007119471351381995
13,dishwasher,0.2239910787342452,2.2255410837920073,0.0
14,dishwasher,0.22487340077274048,2.2069706624783594,-0.0008823220384952812
15,dishwasher,0.20874414640994093,2.2331492978037213,0.01612925436279955
1,ev,0.3824479853937644,3.1780538303479453,
2,ev,0.3824479853937644,3.1780538303479453,0.0
3,ev,0.7912762616715218,6.585135319633412e-10,-0.40882827627775736
4,ev,0.36316231559274753,1.94591014950896,0.42811394607877423
5,ev,0.3649927896396704,1.889159164209403,-0.0018304740469228808
6,ev,0.31916924212763503,2.0075563078649936,0.04582354751203538
7,ev,0.3258984526704135,1.9561874680892948,-0.006729210542778474
8,ev,0.3220270752087543,2.012280549041021,0.00387137746165922
9,ev,0.3158952075424992,2.0233517746349103,0.006131867666255064
10,ev,0.21242960820760926,2.3877955098612307,0.10346559933488997
11,ev,0.21467055335232596,2.3720744113593595,-0.002240945144716705
12,ev,0.21692088492931288,2.331729157252622,-0.0022503315769869248
13,ev,0.21692088492931286,2.331729157252622,2.7755575615628914e-17
14,ev,0.2201775740164315,2.2973257577975885,-0.0032566890871186527
15,ev,0.2032041305553567,2.3122380595570142,0.016973443461074822
1,freezer,0.004792652505873395,3.1780538303479453,
2,freezer,0.004792652505873395,3.1780538303479453,0.0
3,freezer,0.5903036670742975,1.94591014950896,-0.5855110145684241
4,freezer,0.11775148868200107,3.1209529939123475,0.4725521783922964
5,freezer,0.067976172596445,3.159372054304831,0.04977531608555606
6,freezer,0.048008065973051774,3.168872297613904,0.019968106623393232
7,freezer,0.03722859502352192,3.172609148508087,0.010779470949529857
8,freezer,0.030489497487374496,3.174453856029811,0.006739097536147421
9,freezer,0.02588571883893311,3.175497961550331,0.004603778648441387
10,freezer,0.022547648436943037,3.1761457792284444,0.0033380704019900717
11,freezer,0.02002146850427734,3.1765751863293894,0.002526179932665698
12,freezer,0.018047081291590123,3.1768743865183597,0.001974387212687216
13,freezer,0.016464672931409935,3.1770911632901195,0.0015824083601801882
14,freezer,0.015170614305566668,3.177253231966502,0.0012940586258432668
15,freezer,0.014094757603202144,3.1773775662186594,0.0010758567023645242
1,heat_pump,0.12305683150668219,3.135494215954645,
2,heat_pump,0.04447434847625312,3.1717482335027913,0.07858248303042907
3,heat_pump,0.07516996512306415,3.158787837251027,-0.03069561664681103
4,heat_pump,0.05627712464221186,3.166404092297075,0.01889284048085229
5,heat_pump,0.045565062297073015,3.169888548934653,0.010712062345138842
6,heat_pump,0.037237863709989286,3.1726081120976817,0.00832719858708373
7,heat_pump,0.031589240033890784,3.174163325837758,0.005648623676098502
8,heat_pump,0.027523430877270664,3.175135752109651,0.00406580915662012
9,heat_pump,0.028621473482034417,3.1744713179158732,-0.0010980426047637534
10,heat_pump,0.030322594675559138,3.1735742695112448,-0.0017011211935247204
11,heat_pump,0.0318129506798484,3.173196903763044,-0.0014903560042892616
12,heat_pump,0.028678042142918067,3.174046690055138,0.0031349085369303323
13,heat_pump,0.027894750095425996,3.1742086751182805,0.0007832920474920707
14,heat_pump,0.031996792287019196,3.1727469819939627,-0.0041020421915932
15,heat_pump,0.03436940788517793,3.171951996924555,-0.0023726155981587324
1,refrigerator,0.020056872311402997,3.1780538303479453,
2,refrigerator,0.020056872311402997,3.1780538303479453,0.0
3,refrigerator,0.020056872311402997,3.1780538303479453,0.0
4,refrigerator,0.4820591868054038,2.397895273139401,-0.4620023144940008
5,refrigerator,0.2957994428384678,2.886165178330314,0.186259743966936
6,refrigerator,0.11865721217231745,3.113242788010746,0.17714223066615037
7,refrigerator,0.12028325082151106,3.1149910594062105,-0.0016260386491936119
8,refrigerator,0.11270511673675619,3.1236897837892275,0.00757813408475487
9,refrigerator,0.11586020924988737,3.1208714168014637,-0.0031550925131311747
10,refrigerator,0.08501119934441399,3.144398535297271,0.030849009905473374
11,refrigerator,0.0619705380403884,3.158352202667939,0.023040661304025593
12,refrigerator,0.06963389709882574,3.1552570900351213,-0.00766335905843734
13,refrigerator,0.07562196782566971,3.151630382307864,-0.005988070726843972
14,refrigerator,0.0730735188349567,3.152845287735542,0.0025484489907130065
15,refrigerator,0.05808108182607522,3.1610210434211634,0.014992437008881483
1,washing_machine,0.4127961644205187,3.1780538303479453,
2,washing_machine,0.4127961644205187,3.1780538303479453,0.0
3,washing_machine,0.7913965607217923,6.585135319633412e-10,-0.3786003963012736
4,washing_machine,0.4952887079518045,1.6094379129475103,0.2961078527699878
5,washing_machine,0.49307435081880596,1.5498260463933384,0.0022143571329985567
6,washing_machine,0.3501800917756052,2.0198149929196703,0.14289425904320074
7,washing_machine,0.35916183846080496,1.9512595045728514,-0.008981746685199743
8,washing_machine,0.26640197501513657,2.1614236362719668,0.09275986344566839
9,washing_machine,0.26640197501513657,2.1614236362719668,0.0
10,washing_machine,0.22327611358243896,2.3006106467526655,0.043125861432697615
11,washing_machine,0.23167826700953778,2.252782315993297,-0.008402153427098824
12,washing_machine,0.2431619084467811,2.2115654823454913,-0.011483641437243314
13,washing_machine,0.24316190844678093,2.211565482345491,1.6653345369377348e-16
14,washing_machine,0.23058125241610636,2.2087857847862704,0.01258065603067457
15,washing_machine,0.21880411406085976,2.2238910635570845,0.011777138355246602
