k,device,js_divergence,entropy,learning_rate
1,dishwasher,0.15530344941574759,3.1780538303479453,
2,dishwasher,0.801048046676755,6.58513754007946e-10,-0.6457445972610074
3,dishwasher,0.6540259876959146,1.6094379129475105,0.14702205898084042
4,dishwasher,0.6160049592342133,1.7328679518847232,0.0380210284617013
5,dishwasher,0.5572772225813734,2.0198149929196707,0.058727736652839924
1,freezer,0.0008578904406179979,3.1780538303479453,
2,freezer,0.0008578904406179979,3.1780538303479453,0.0
3,freezer,0.0008578904406179979,3.1780538303479453,0.0
4,freezer,0.0008578904406179979,3.1780538303479453,0.0
5,freezer,0.0008578904406179979,3.1780538303479453,0.0
1,heat_pump,0.0029007041383267403,3.1780538303479453,
2,heat_pump,0.0029007041383267403,3.1780538303479453,0.0
3,heat_pump,0.0029007041383267403,3.1780538303479453,0.0
4,heat_pump,0.0029007041383267403,3.1780538303479453,0.0
5,heat_pump,0.0029007041383267403,3.1780538303479453,0.0
1,washing_machine,0.7926510626528993,6.585135319633412e-10,
2,washing_machine,0.52647237396975,2.079441542104661,0.2661786886831493
3,washing_machine,0.5011085997536314,2.197224577732726,0.025363774216118573
4,washing_machine,0.5036144182482777,2.163955657279617,-0.0025058184946462614
5,washing_machine,0.2990521817314613,2.75433170374303,0.20456223651681638
